id,name,now_cost,position,team,web_name,transfers_in_event,influence_rank_type,news_added,ict_index_rank_type,assists,selected_rank,direct_freekicks_order,starts_per_90,goals_conceded,threat_rank_type,status,ep_this,news,selected_rank_type,goals_scored,influence_rank,goals_conceded_per_90,selected_by_percent,in_dreamteam,points_per_game_rank,expected_goal_involvements_per_90,influence,form_rank_type,expected_goals_conceded_per_90,chance_of_playing_this_round,ep_next,expected_assists,expected_goals_conceded,points_per_game,cost_change_start,transfers_in,starts,cost_change_start_fall,creativity,saves_per_90,threat_rank,penalties_saved,points_per_game_rank_type,own_goals,bonus,penalties_missed,expected_goals,chance_of_playing_next_round,event_points,clean_sheets,clean_sheets_per_90,transfers_out,cost_change_event,penalties_order,expected_goals_per_90,creativity_rank_type,expected_assists_per_90,value_season,transfers_out_event,form,bps,saves,expected_goal_involvements,form_rank,creativity_rank,corners_and_indirect_freekicks_order,threat,dreamteam_count,now_cost_rank_type,ict_index,now_cost_rank,minutes,yellow_cards,cost_change_event_fall,red_cards,value_form,ict_index_rank,total_points
160,Jordan Beyer,40,DEF,Burnley,Beyer,2603,31,2023-12-02T18:00:09.531735Z,61,1,155,,1.04,21,109,a,3.3,,62,0,87,1.68,1.6,False,245,0.04,294.4,11,1.52,100.0,2.8,0.17,19.06,2.2,0,89983,13,0,45.1,0.0,320,0,79,0,4,0,0.33,100.0,5,2,0.16,356405,0,,0.03,99,0.01,7.0,1787,3.8,222,0,0.50,53,302,,25.0,1,185,36.6,664,1128,6,0,0,1.0,205,28
161,Josh Brownhill,47,MID,Burnley,Brownhill,2046,41,,64,0,290,3.0,0.96,26,88,a,2.7,,95,3,109,1.77,0.3,False,188,0.15,270.4,47,1.46,,2.2,1.28,21.45,2.7,-3,50230,14,3,244.4,0.0,140,0,83,0,0,0,0.81,,3,2,0.14,49648,0,,0.06,50,0.09,9.8,1712,3.2,241,0,2.09,95,64,4.0,122.0,0,203,64.0,314,1319,2,0,0,0.7,92,46
162,Darko Churlinov,44,MID,Burnley,Churlinov,25,239,2023-08-31T18:00:07.313510Z,242,0,617,,0.0,0,235,a,-0.5,,237,0,628,0.0,0.0,False,640,0.0,0.0,202,0.0,100.0,-1.0,0.00,0.00,0.0,-1,1286,0,1,0.0,0.0,602,0,247,0,0,0,0.00,100.0,0,0,0.0,3555,0,,0.0,239,0.0,0.0,23,0.0,0,0,0.00,570,617,,0.0,0,304,0.0,541,0,0,0,0,0.0,633,0
163,Jack Cork,48,MID,Burnley,Cork,15,216,2023-11-23T20:00:09.981535Z,213,0,621,,0.0,0,212,d,-0.2,Calf injury - 50% chance of playing,239,0,474,0.0,0.0,False,446,0.06,1.8,272,0.73,50.0,-0.5,0.01,0.13,1.0,-2,687,0,2,0.9,0.0,427,0,205,0,0,0,0.00,50.0,0,0,0.0,2610,0,,0.0,211,0.06,0.2,21,0.0,2,0,0.01,680,432,,2.0,0,173,0.5,269,16,0,0,0,0.0,469,1
164,Dara Costelloe,45,MID,Burnley,Costelloe,0,288,2023-08-17T06:12:47.501520Z,291,0,681,,0.0,0,288,u,0.0,Season long loan to St Johnstone,273,0,700,0.0,0.0,False,707,0.0,0.0,256,0.0,0.0,0.0,0.00,0.00,0.0,0,101,0,0,0.0,0.0,689,0,293,0,0,0,0.00,0.0,0,0,0.0,2855,0,,0.0,289,0.0,0.0,5,0.0,0,0,0.00,653,697,,0.0,0,271,0.0,457,0,0,0,0,0.0,706,0
165,Josh Cullen,50,MID,Burnley,Cullen,45,103,2023-12-04T16:30:09.492483Z,127,1,504,,1.07,24,176,a,-0.5,,175,0,257,2.56,0.1,False,339,0.1,128.8,300,2.02,100.0,-1.0,0.88,18.91,1.6,0,7202,10,0,114.2,0.0,351,0,148,0,0,0,0.08,100.0,0,0,0.0,10239,0,,0.01,102,0.09,3.6,35,0.0,119,0,0.96,715,158,,18.0,0,114,26.1,185,844,5,0,0,0.0,270,18
166,CJ Egan-Riley,39,DEF,Burnley,Egan-Riley,290,178,,177,0,310,,0.0,0,164,a,-0.5,,120,0,504,0.0,0.2,False,516,0.0,0.0,145,0.0,,-1.0,0.00,0.00,0.0,-1,21917,0,1,0.0,0.0,460,0,175,0,0,0,0.00,,0,0,0.0,18949,0,,0.0,177,0.0,0.0,240,0.0,0,0,0.00,424,489,,0.0,0,243,0.0,758,0,0,0,0,0.0,510,0
167,Hjalmar Ekdal,39,DEF,Burnley,Ekdal,256,157,2023-08-31T02:00:07.493185Z,156,0,365,,0.86,1,151,a,0.1,,142,0,428,0.86,0.1,False,403,0.01,14.6,104,1.69,100.0,-0.4,0.01,1.97,1.0,-1,9085,1,1,12.0,0.0,414,0,140,0,0,0,0.00,100.0,0,0,0.0,18618,0,,0.0,139,0.01,0.8,226,0.6,20,0,0.01,313,387,,2.0,0,247,2.8,762,105,1,0,0,0.2,442,3
168,Lyle Foster,48,FWD,Burnley,Foster,1423,19,2023-10-28T20:00:07.456915Z,28,3,227,,1.0,19,33,a,0.7,,38,3,176,2.38,0.6,False,39,0.27,196.6,32,1.86,100.0,0.2,0.50,14.82,4.3,-2,260302,8,2,105.8,0.0,109,0,7,0,4,0,1.70,100.0,5,2,0.25,248716,0,,0.21,25,0.06,8.1,1473,1.2,121,0,2.20,252,172,,162.0,0,59,46.4,296,718,0,0,1,0.3,157,39
169,Denis Franchi,39,GKP,Burnley,Franchi,54,51,,51,0,363,,0.0,0,25,a,-0.5,,54,0,508,0.0,0.2,False,520,0.0,0.0,50,0.0,,-1.0,0.00,0.00,0.0,-1,9997,0,1,0.0,0.0,464,0,51,0,0,0,0.00,,0,0,0.0,11976,0,,0.0,34,0.0,0.0,122,0.0,0,0,0.00,429,493,,0.0,0,85,0.0,765,0,0,0,0,0.0,514,0
170,Jóhann Berg Gudmundsson,48,MID,Burnley,Gudmundsson,24,114,2023-12-19T18:00:09.313020Z,80,1,587,2.0,1.11,11,116,d,0.0,Knock - 50% chance of playing,220,0,286,1.52,0.0,False,336,0.29,107.0,147,1.22,50.0,-0.2,1.69,8.79,1.6,-2,3187,8,2,328.9,0.0,212,0,145,0,0,0,0.44,50.0,0,1,0.14,5967,0,,0.06,32,0.23,3.8,66,0.6,98,0,2.13,321,39,2.0,66.0,0,176,50.3,273,651,2,0,0,0.1,139,18
171,Luke McNally,40,DEF,Burnley,McNally,0,212,2023-08-04T09:35:51.951556Z,212,0,671,,0.0,0,201,u,0.0,Season long loan to Stoke City,233,0,566,0.0,0.0,False,578,0.0,0.0,185,0.0,0.0,0.0,0.00,0.00,0.0,0,0,0,0,0.0,0.0,525,0,209,0,0,0,0.00,0.0,0,0,0.0,1695,0,,0.0,211,0.0,0.0,2,0.0,0,0,0.00,491,551,,0.0,0,206,0.0,697,0,0,0,0,0.0,573,0
172,Arijanet Muric,43,GKP,Burnley,Muric,42,84,2023-11-23T20:00:10.046521Z,84,0,377,,0.0,0,62,a,-0.5,,55,0,602,0.0,0.1,False,615,0.0,0.0,82,0.0,100.0,-1.0,0.00,0.00,0.0,-2,1776,0,2,0.0,0.0,573,0,84,0,0,0,0.00,100.0,0,0,0.0,16978,0,,0.0,70,0.0,0.0,85,0.0,0,0,0.00,536,591,,0.0,0,30,0.0,598,0,0,0,0,0.0,609,0
173,Dara O'Shea,44,DEF,Burnley,O'Shea,428,21,,37,2,334,,0.97,30,32,a,3.1,,129,0,67,2.24,0.2,False,292,0.05,316.2,20,1.76,,2.6,0.34,23.58,1.9,-1,13766,13,1,73.5,0.0,174,0,103,1,1,0,0.30,,6,2,0.15,19579,0,,0.02,65,0.03,6.1,456,3.6,212,0,0.64,68,231,,89.0,0,106,48.1,519,1207,2,0,0,0.8,151,27
174,Michael Obafemi,49,FWD,Burnley,Obafemi,100,87,2023-12-14T16:00:09.419672Z,54,0,563,,0.0,0,53,a,-0.3,,79,0,734,0.0,0.0,False,454,0.57,0.0,49,0.14,100.0,-0.8,0.01,0.03,1.0,-1,3062,0,1,0.6,0.0,360,0,57,0,0,0,0.11,100.0,0,0,0.0,5801,0,,0.52,55,0.05,0.4,93,0.2,4,0,0.12,386,440,,17.0,0,50,1.7,244,19,0,0,0,0.0,458,2
175,Bailey Peacock-Farrell,40,GKP,Burnley,Peacock-Farrell,0,63,2023-07-26T11:25:50.410533Z,63,0,682,,0.0,0,37,u,0.0,Joined Aarhus on loan,80,0,533,0.0,0.0,False,545,0.0,0.0,61,0.0,0.0,0.0,0.00,0.00,0.0,0,0,0,0,0.0,0.0,491,0,63,0,0,0,0.00,0.0,0,0,0.0,984,0,,0.0,46,0.0,0.0,8,0.0,0,0,0.00,456,519,,0.0,0,45,0.0,656,0,0,0,0,0.0,541,0
176,Connor Roberts,43,DEF,Burnley,Roberts,46,98,2023-10-21T17:30:07.665681Z,98,1,348,,0.95,21,141,a,-0.1,,136,0,251,2.51,0.2,False,467,0.04,136.2,116,2.18,100.0,-0.6,0.34,18.25,0.9,-2,14346,8,2,92.8,0.0,392,0,155,0,0,0,0.00,100.0,1,0,0.0,29586,0,,0.0,53,0.04,2.3,159,0.4,107,0,0.34,339,199,,8.0,0,139,23.6,587,754,2,0,1,0.1,289,10
177,Jay Rodriguez,53,FWD,Burnley,Rodriguez,1224,32,,33,1,278,,0.91,14,27,a,2.5,,43,2,256,1.81,0.3,False,224,0.44,129.8,12,1.38,,2.0,0.07,10.69,2.5,-2,48264,7,2,50.7,0.0,83,0,30,0,3,0,3.33,,1,1,0.13,45837,0,1.0,0.43,41,0.01,6.2,3208,3.0,98,0,3.40,113,290,,206.0,0,37,38.0,130,695,0,0,0,0.6,199,33
178,Charlie Taylor,40,DEF,Burnley,Taylor,11496,50,2023-12-09T17:30:08.827079Z,55,1,72,,1.0,23,100,a,3.1,,24,1,134,1.64,5.5,False,227,0.04,247.0,19,1.55,100.0,2.6,0.44,21.73,2.4,0,757176,14,0,110.7,0.0,306,0,74,0,1,0,0.13,100.0,6,2,0.14,296227,0,,0.01,38,0.03,8.2,4469,3.6,208,0,0.57,67,165,,28.0,0,165,38.7,636,1260,5,0,0,0.9,193,33
179,Bobby Thomas,40,DEF,Burnley,Thomas,0,205,2023-07-24T09:55:44.165399Z,206,0,669,,0.0,0,194,u,0.0,Permanent transfer to Coventry,232,0,553,0.0,0.0,False,566,0.0,0.0,178,0.0,0.0,0.0,0.00,0.00,0.0,0,0,0,0,0.0,0.0,512,0,203,0,0,0,0.00,0.0,0,0,0.0,1293,0,,0.0,205,0.0,0.0,4,0.0,0,0,0.00,478,539,,0.0,0,197,0.0,682,0,0,0,0,0.0,561,0
180,Scott Twine,49,MID,Burnley,Twine,0,313,2023-08-21T08:28:24.720790Z,313,0,687,,0.0,0,311,u,0.0,Season long loan to Hull,275,0,736,0.0,0.0,False,736,0.0,0.0,288,0.0,0.0,0.0,0.00,0.00,0.0,-1,119,0,1,0.0,0.0,728,0,313,0,0,0,0.00,0.0,0,0,0.0,2663,0,,0.0,311,0.0,0.0,2,0.0,0,0,0.00,702,731,,0.0,0,157,0.0,246,0,0,0,0,0.0,736,0
181,Lawrence Vigouroux,39,GKP,Burnley,Vigouroux,167,41,,41,0,294,,0.0,0,12,a,-0.5,,41,0,494,0.0,0.3,False,506,0.0,0.0,39,0.0,,-1.0,0.00,0.00,0.0,-1,16183,0,1,0.0,0.0,447,0,41,0,0,0,0.00,,0,0,0.0,12554,0,,0.0,21,0.0,0.0,323,0.0,0,0,0.00,413,476,,0.0,0,72,0.0,740,0,0,0,0,0.0,500,0
182,Victor da Silva,44,DEF,Burnley,Vitinho,291,119,2023-08-31T02:00:07.534376Z,114,0,384,,1.04,18,84,a,2.9,,147,0,303,1.7,0.1,False,281,0.05,91.8,23,1.44,100.0,2.4,0.36,15.30,2.0,-1,6440,11,1,60.4,0.0,271,0,99,0,0,0,0.25,100.0,6,2,0.19,13443,0,,0.02,85,0.03,5.5,203,3.4,115,0,0.61,79,264,,41.0,0,118,19.3,545,955,0,0,0,0.8,315,24
183,Wout Weghorst,55,FWD,Burnley,Weghorst,0,91,2023-08-10T13:52:51.426276Z,91,0,538,,0.0,0,91,u,0.0,On loan to Hoffenheim,75,0,756,0.0,0.0,False,756,0.0,0.0,88,0.0,0.0,0.0,0.00,0.00,0.0,0,0,0,0,0.0,0.0,754,0,91,0,0,0,0.00,0.0,0,0,0.0,14857,0,,0.0,91,0.0,0.0,13,0.0,0,0,0.00,739,756,,0.0,0,29,0.0,96,0,0,0,0,0.0,756,0
184,Anass Zaroury,47,MID,Burnley,Zaroury,15,209,2023-08-12T08:00:06.224285Z,191,0,566,,0.67,4,172,a,-0.5,,208,0,460,2.67,0.0,False,489,0.17,3.8,270,2.09,100.0,-1.0,0.09,3.13,0.6,-3,1758,1,3,31.6,0.0,344,0,229,0,0,0,0.16,100.0,0,0,0.0,12110,0,,0.11,172,0.06,0.6,34,0.0,5,0,0.25,677,330,5.0,19.0,0,213,4.8,329,135,0,0,1,0.0,415,3
475,Sander Berge,47,MID,Burnley,Berge,875,56,,81,1,400,,1.02,29,101,a,2.9,,132,1,137,1.97,0.1,False,239,0.11,236.0,42,1.76,,2.4,0.44,25.97,2.3,-3,11089,15,3,163.4,0.0,173,0,104,0,3,0,1.20,,9,2,0.14,18441,0,,0.08,80,0.03,8.9,208,3.4,187,0,1.64,82,111,,90.0,1,206,49.0,318,1327,3,0,0,0.7,144,42
594,Zeki Amdouni,53,FWD,Burnley,Amdouni,1036,13,,14,1,308,,1.25,22,17,a,3.3,,48,2,159,1.61,0.2,False,207,0.25,209.0,8,1.56,,2.8,0.77,21.31,2.6,-2,72972,17,2,152.1,0.0,46,0,27,0,4,0,2.53,,2,4,0.29,66941,0,,0.19,14,0.06,8.5,2207,3.8,130,0,3.30,59,126,,300.0,1,39,66.2,149,1228,1,0,0,0.7,84,45
596,James Trafford,45,GKP,Burnley,Trafford,3321,1,,1,0,190,,1.0,36,74,a,5.1,,26,0,2,2.0,1.0,False,155,0.0,592.0,1,1.67,,4.6,0.00,30.06,2.9,0,63073,18,0,0.1,3.83,642,0,20,0,4,0,0.00,,9,2,0.11,74728,0,,0.0,8,0.0,11.6,1526,5.6,364,69,0.00,11,456,,0.0,1,20,59.3,402,1620,1,0,0,1.2,107,52
600,Nathan Redmond,48,MID,Burnley,Redmond,13,181,2023-09-28T17:00:09.620680Z,176,0,594,,0.0,4,180,a,0.3,,224,0,409,2.83,0.0,False,470,0.27,23.4,136,2.52,100.0,-0.2,0.35,3.56,0.9,-2,712,0,2,52.0,0.0,364,0,221,0,0,0,0.03,100.0,1,0,0.0,4543,0,,0.02,154,0.25,2.1,12,0.8,35,0,0.38,300,284,,16.0,0,180,9.1,278,127,1,0,0,0.2,384,10
605,Luca Koleosho,49,MID,Burnley,Koleosho,74,127,2023-12-06T07:30:10.569273Z,88,2,462,,1.2,23,49,i,0.0,Knee injury - Expected back 19 May,156,1,307,2.13,0.1,False,191,0.28,86.8,88,1.44,0.0,0.0,1.07,15.55,2.7,-1,42534,13,1,147.9,0.0,74,0,85,0,0,0,1.96,0.0,0,3,0.28,40960,0,,0.18,89,0.1,8.2,355,1.8,80,0,3.03,198,130,,213.0,0,168,44.5,263,972,0,0,0,0.4,169,40
608,Jacob Bruun Larsen,49,MID,Burnley,Bruun Larsen,72,117,,91,0,585,1.0,0.82,8,77,a,2.1,,219,2,289,1.63,0.0,False,301,0.33,106.0,61,1.42,,1.6,0.34,6.96,1.9,-1,2783,4,1,161.7,0.0,125,0,124,0,0,0,1.25,,1,1,0.2,3040,0,,0.26,82,0.07,5.9,88,2.6,85,0,1.59,132,115,1.0,142.0,0,147,40.6,229,441,0,0,0,0.5,186,29
622,Owen Dodgson,40,DEF,Burnley,Dodgson,0,207,2023-09-01T21:48:22.703139Z,208,0,571,,0.0,0,196,u,0.0,Season-long loan to Barnsley,207,0,555,0.0,0.0,False,568,0.0,0.0,180,0.0,0.0,0.0,0.00,0.00,0.0,0,467,0,0,0.0,0.0,514,0,205,0,0,0,0.00,0.0,0,0,0.0,3414,0,,0.0,207,0.0,0.0,21,0.0,0,0,0.00,480,541,,0.0,0,199,0.0,684,0,0,0,0,0.0,563,0
660,Wilson Odobert,50,MID,Burnley,Odobert,1330,84,,99,1,582,,1.12,10,97,a,4.1,,216,3,207,2.23,0.0,False,78,0.29,169.4,19,2.14,,3.6,0.86,9.59,3.7,0,2724,5,0,94.8,0.0,161,0,40,0,3,0,0.47,,14,1,0.22,1311,0,,0.1,115,0.19,6.6,142,4.6,121,0,1.33,30,193,,102.0,1,132,36.6,207,403,2,0,0,0.9,206,33
674,Hannes Delcroix,40,DEF,Burnley,Delcroix,39,135,,130,0,519,,0.87,13,82,a,-0.1,,195,0,353,3.79,0.0,False,488,0.12,56.8,113,1.95,,-0.6,0.06,6.68,0.6,0,4440,3,0,37.5,0.0,267,0,163,0,0,0,0.35,,1,0,0.0,3159,0,,0.1,108,0.02,1.2,56,0.4,55,0,0.41,336,318,,42.0,0,188,13.6,667,309,1,0,0,0.1,350,5
675,Aaron Ramsey,50,MID,Burnley,A.Ramsey,19,184,2023-12-11T00:00:10.930063Z,187,0,550,,0.71,8,166,d,-0.1,Knock - 50% chance of playing,201,0,412,2.82,0.0,False,386,0.2,23.2,173,1.74,50.0,-0.4,0.46,4.93,1.2,0,8928,2,0,21.3,0.0,330,0,177,0,0,0,0.10,50.0,0,0,0.0,7646,0,,0.04,186,0.16,2.0,118,0.2,33,0,0.56,389,358,,24.0,0,128,6.7,201,255,0,0,0,0.0,403,10
694,Han-Noah Massengo,50,MID,Burnley,Massengo,12,323,,323,0,697,,0.0,0,322,a,-0.5,,284,0,748,0.0,0.0,False,748,0.0,0.0,304,0.0,,-1.0,0.00,0.00,0.0,0,352,0,0,0.0,0.0,742,0,323,0,0,0,0.00,,0,0,0.0,357,0,,0.0,322,0.0,0.0,12,0.0,0,0,0.00,720,745,,0.0,0,126,0.0,199,0,0,0,0,0.0,748,0
706,Mike Trésor,54,MID,Burnley,M.Trésor,52,175,,154,0,605,4.0,0.57,6,168,a,0.5,,230,0,395,1.72,0.0,False,375,0.25,32.0,130,2.04,,0.0,0.50,7.11,1.3,-1,4253,2,1,92.9,0.0,332,0,173,0,0,0,0.37,,1,0,0.0,3844,0,,0.11,117,0.14,2.6,58,1.0,47,0,0.87,292,198,3.0,24.0,0,79,15.0,126,314,0,0,0,0.2,342,14
126,Moisés Caicedo Corozo,46,MID,Chelsea,Caicedo,802,83,2023-12-24T21:00:09.270040Z,103,0,166,,0.99,19,160,d,1.8,Illness - 75% chance of playing,52,0,203,1.45,1.3,False,298,0.06,174.8,83,1.27,100.0,1.4,0.56,16.73,1.9,-4,104089,13,4,148.6,0.0,313,0,122,0,0,0,0.23,75.0,0,3,0.23,299670,0,,0.02,87,0.04,6.1,2269,1.8,160,0,0.79,193,128,,27.0,0,221,34.6,348,1183,3,0,0,0.4,213,28
145,Robert Sánchez,46,GKP,Chelsea,Sanchez,119,7,2023-12-10T23:00:09.742927Z,7,0,82,,1.0,25,77,i,0.0,Knee injury - Expected back 03 Feb,14,0,18,1.57,5.0,False,75,0.0,450.6,8,1.49,0.0,0.0,0.00,23.72,3.7,1,995708,16,-1,0.1,3.33,706,1,8,0,7,0,0.00,0.0,0,3,0.19,853074,-1,,0.0,9,0.0,12.8,51790,3.2,317,53,0.00,93,459,,0.0,1,13,45.2,338,1433,2,1,0,0.7,164,59
185,Ethan Ampadu,40,DEF,Chelsea,Ampadu,0,191,2023-07-20T08:39:43.633400Z,192,0,698,,0.0,0,179,u,0.0,Permanent transfer to Leeds Utd,237,0,528,0.0,0.0,False,540,0.0,0.0,162,0.0,0.0,0.0,0.00,0.00,0.0,0,0,0,0,0.0,0.0,486,0,188,0,0,0,0.00,0.0,0,0,0.0,882,0,,0.0,191,0.0,0.0,1,0.0,0,0,0.00,451,514,,0.0,0,177,0.0,651,0,0,0,0,0.0,536,0
187,Kepa Arrizabalaga,50,GKP,Chelsea,Arrizabalaga,0,88,2023-08-15T08:06:29.726491Z,88,0,335,,0.0,0,83,u,0.0,One year loan deal to Real Madrid,52,0,741,0.0,0.2,False,741,0.0,0.0,87,0.0,0.0,0.0,0.00,0.00,0.0,0,1775,0,0,0.0,0.0,733,0,88,0,0,0,0.00,0.0,0,0,0.0,84260,0,,0.0,85,0.0,0.0,48,0.0,0,0,0.00,710,736,,0.0,0,6,0.0,174,0,0,0,0,0.0,741,0
188,Pierre-Emerick Aubameyang,65,FWD,Chelsea,Aubameyang,0,95,2023-07-24T09:59:36.133419Z,95,0,628,,0.0,0,95,u,0.0,,87,0,765,0.0,0.0,False,765,0.0,0.0,94,0.0,0.0,0.0,0.00,0.00,0.0,0,0,0,0,0.0,0.0,765,0,95,0,0,0,0.00,0.0,0,0,0.0,1965,0,,0.0,95,0.0,0.0,2,0.0,0,0,0.00,756,765,,0.0,0,17,0.0,45,0,0,0,0,0.0,765,0
189,César Azpilicueta,45,DEF,Chelsea,Azpilicueta,0,244,2023-07-06T16:30:03.010661Z,244,0,753,,0.0,0,242,u,0.0,Left the club as a free agent,248,0,639,0.0,0.0,False,651,0.0,0.0,232,0.0,0.0,0.0,0.00,0.00,0.0,0,0,0,0,0.0,0.0,616,0,243,0,0,0,0.00,0.0,0,0,0.0,99,0,,0.0,244,0.0,0.0,1,0.0,0,0,0.00,585,630,,0.0,0,50,0.0,350,0,0,0,0,0.0,644,0
190,Abdul Rahman Baba,40,DEF,Chelsea,Baba,0,183,2023-07-13T08:07:47.494096Z,184,0,741,,0.0,0,171,u,0.0,Permanent Transfer to PAOK,247,0,519,0.0,0.0,False,531,0.0,0.0,153,0.0,0.0,0.0,0.00,0.00,0.0,0,0,0,0,0.0,0.0,477,0,180,0,0,0,0.00,0.0,0,0,0.0,280,0,,0.0,183,0.0,0.0,2,0.0,0,0,0.00,442,505,,0.0,0,168,0.0,641,0,0,0,0,0.0,527,0
191,Benoît Badiashile,44,DEF,Chelsea,B.Badiashile,1551,116,2023-08-03T10:30:04.564668Z,121,1,357,,0.97,9,111,a,3.0,,138,0,283,2.19,0.2,False,141,0.18,108.8,34,1.24,100.0,3.0,0.61,5.08,3.0,-1,18149,4,1,36.0,0.0,322,0,43,0,4,0,0.11,100.0,1,1,0.24,8552,0,,0.03,110,0.15,3.4,846,3.0,88,0,0.72,105,320,,25.0,0,114,16.9,534,370,1,0,0,0.7,330,15
192,Marcus Bettinelli,40,GKP,Chelsea,Bettinelli,74,60,2023-08-03T10:30:04.581002Z,60,0,586,,0.0,0,34,a,-0.2,,77,0,521,0.0,0.0,False,533,0.0,0.0,88,0.0,100.0,-0.2,0.00,0.00,0.0,0,1628,0,0,0.0,0.0,479,0,60,0,0,0,0.00,100.0,-1,0,0.0,2158,0,,0.0,43,0.0,-0.2,44,-0.2,-3,0,0.00,767,507,,0.0,0,42,0.0,643,0,1,0,0,0.0,529,-1
193,Armando Broja,49,FWD,Chelsea,Broja,843,41,2023-10-18T22:00:08.965956Z,42,1,332,,1.19,5,38,a,1.2,,52,1,379,1.49,0.2,False,303,0.55,38.6,33,1.26,100.0,1.2,0.13,4.25,1.9,-1,71227,4,1,26.0,0.0,166,0,38,0,0,0,1.72,100.0,1,1,0.3,61620,0,,0.51,46,0.04,3.9,1180,1.2,45,0,1.85,256,348,,98.0,0,56,15.8,260,303,0,0,0,0.2,334,19
194,Trevoh Chalobah,43,DEF,Chelsea,Chalobah,3,237,2023-08-11T16:00:07.662192Z,237,0,522,,0.0,0,232,i,0.0,Hamstring injury - Unknown return date,197,0,599,0.0,0.0,False,612,0.0,0.0,215,0.0,0.0,0.0,0.00,0.00,0.0,-2,773,0,2,0.0,0.0,568,0,235,0,0,0,0.00,0.0,0,0,0.0,16848,0,,0.0,237,0.0,0.0,25,0.0,0,0,0.00,531,588,,0.0,0,138,0.0,586,0,0,0,0,0.0,606,0
195,Ben Chilwell,54,DEF,Chelsea,Chilwell,70,134,2023-09-28T03:30:08.842279Z,84,1,84,3.0,1.08,5,35,i,0.0,Hamstring injury - Expected back 13 Jan,29,0,352,1.35,4.9,False,225,0.57,57.0,245,1.1,0.0,0.0,1.27,4.08,2.5,-1,2119744,4,1,136.4,0.0,178,0,73,0,2,0,0.85,0.0,0,1,0.27,3148156,0,,0.23,29,0.34,2.8,2429,0.0,66,0,2.12,735,142,1.0,88.0,0,10,28.1,115,334,3,0,0,0.0,253,15
196,Carney Chukwuemeka,42,MID,Chelsea,Chukwuemeka,3442,173,2023-10-18T22:00:09.030876Z,172,0,178,,1.44,2,144,i,0.0,Knee injury - Unknown return date,60,1,388,1.44,1.1,False,139,0.2,34.8,182,1.41,0.0,0.0,0.19,1.96,3.0,-3,245626,2,3,25.1,0.0,275,0,61,0,0,0,0.08,0.0,0,0,0.0,412875,0,,0.06,182,0.14,1.4,3044,0.0,23,0,0.27,522,350,,39.0,0,334,9.9,625,125,2,0,0,0.0,379,6
197,Levi Colwill,46,DEF,Chelsea,Colwill,43096,36,2023-11-13T01:00:09.220779Z,29,1,53,,0.99,20,12,a,3.4,,17,1,97,1.32,7.4,False,131,0.11,283.2,24,1.28,100.0,3.4,0.39,19.36,3.1,1,1052428,15,-1,95.5,0.0,117,0,38,0,3,0,1.19,100.0,2,4,0.26,606692,0,,0.08,47,0.03,11.3,9392,3.4,280,0,1.58,81,190,,153.0,1,48,53.2,347,1360,2,0,0,0.7,133,52
198,Marc Cucurella Saseta,48,DEF,Chelsea,Cucurella,20,94,2023-12-10T23:00:09.879958Z,77,0,247,,1.02,14,62,i,0.0,Ankle injury - Expected back 09 Mar,96,0,238,1.79,0.4,False,396,0.14,148.4,108,1.69,0.0,0.0,0.26,13.23,1.1,-2,54763,8,2,92.3,0.0,230,0,136,0,0,0,0.85,0.0,0,1,0.13,80104,0,,0.11,54,0.03,2.1,1309,0.6,104,0,1.11,322,200,,58.0,0,33,29.9,288,703,5,0,0,0.1,240,10
199,Enzo Fernández,48,MID,Chelsea,Enzo,580,49,2023-12-19T23:00:09.582067Z,42,1,118,1.0,1.08,21,39,d,2.8,Hernia - 25% chance of playing,34,2,126,1.51,2.6,False,176,0.45,256.0,31,1.44,75.0,0.9,1.81,20.04,2.8,-2,345570,15,2,281.5,0.0,63,0,76,0,3,1,4.41,25.0,0,4,0.29,517001,0,2.0,0.32,42,0.13,9.2,14945,3.8,197,0,6.22,58,54,,248.0,1,195,78.5,299,1253,4,0,0,0.8,59,44
200,David Datro Fofana,50,FWD,Chelsea,D.D.Fofana,0,90,2023-07-11T09:30:03.546600Z,90,0,736,,0.0,0,89,u,0.0,Joined Union Berlin on a season-long loan - Expected back 01 Jul,98,0,750,0.0,0.0,False,750,0.0,0.0,86,0.0,0.0,0.0,0.00,0.00,0.0,0,0,0,0,0.0,0.0,744,0,90,0,0,0,0.00,0.0,0,0,0.0,366,0,,0.0,90,0.0,0.0,1,0.0,0,0,0.00,722,747,,0.0,0,46,0.0,205,0,0,0,0,0.0,750,0
201,Wesley Fofana,44,DEF,Chelsea,W.Fofana,8,243,2023-07-18T23:30:03.865981Z,243,0,588,,0.0,0,241,i,0.0,Knee injury - Unknown return date,211,0,630,0.0,0.0,False,642,0.0,0.0,229,0.0,0.0,0.0,0.00,0.00,0.0,-1,729,0,1,0.0,0.0,604,0,242,0,0,0,0.00,0.0,0,0,0.0,3185,0,,0.0,243,0.0,0.0,17,0.0,0,0,0.00,572,619,,0.0,0,119,0.0,546,0,0,0,0,0.0,635,0
